accurate; correct	正確
denial; rejection	否定
respect; esteem	敬意
knowledge	知識
interaction; exchange with others	交流
information	情報
understanding; comprehension	理解
vivid; clear	鮮明
respect; value highly	尊重
trust; confidence	信頼
effort; hard work	努力
impression	印象
growth; development	成長
convenient; useful	便利
translation	翻訳
attitude; approach	姿勢
value; worth	価値
human activity; way of life	営み
reality; actually	実際
exchange	交換
polite; courteous	丁寧
perfect; complete	完璧
important	重要
suddenly; unexpectedly	突然
frustrated; regretful	悔しい
experience (something personally experienced)	体験
memory	記憶
bow (greeting or showing respect)	お辞儀
significance; importance	意義
word; language	言葉
sharing; sharing with others	共有
background; context	背景
good at; one's strength	得意
honest; honesty	正直
failure; mistake	失敗
